"Rank","NCT Number","Title","Status","Study Results","Gender","Phases","Enrollment","Funded Bys","Study Type","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","URL"
1,"NCT01916239","Pomegranate Extract Supplementation in Colorectal Cancer Patients","Completed","No Results Available","All","Phase 1|Phase 2","60","Other","Interventional","June 2012","February 2015","April 2015","August 5, 2013","null","April 14, 2015","Hospital General Universitario Reina Sofía, Murcia, Spain","https://ClinicalTrials.gov/show/NCT01916239"
2,"NCT01126112","Study of First-line Single-agent Panitumumab in Frail Elderly Patients With Advanced Wild Type K-RAS Colorectal Cancer","Completed","No Results Available","All","Phase 2","33","Other|Industry","Interventional","May 2010","July 2014","July 2014","May 19, 2010","null","March 24, 2015","Spanish Cooperative Group for Gastrointestinal Tumour Therapy, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01126112"
3,"NCT01431196","Trial With Autologous Dendritic Cell Vaccination in Patients With Stage II-III HER2 Negative Breast Cancer","Completed","No Results Available","All","Phase 2","29","Other|NIH","Interventional","February 2011","June 2012","December 2013","September 9, 2011","null","May 19, 2016","Clínica Universidad de Navarra, Pamplona, Navarra, Spain","https://ClinicalTrials.gov/show/NCT01431196"
4,"NCT01413295","Randomized Trial With Dendritic Cells in Patients With Metastatic Colorectal Cancer","Completed","No Results Available","All","Phase 2","52","Other","Interventional","August 2011","September 2014","September 2014","August 10, 2011","null","November 4, 2014","Hospital Clínic Barcelona, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT01413295"
5,"NCT02067481","Effect of a Diet and Physical Activity Intervention in Breast Cancer Survivors","Completed","No Results Available","Female","Phase 2","42","Other","Interventional","March 2013","July 2013","July 2013","February 20, 2014","null","February 20, 2014","Instituto Catalá de Oncología, Barcelona, L´Hospitalet de Llobregat, Spain","https://ClinicalTrials.gov/show/NCT02067481"
6,"NCT02622880","Comparison of Two Immunomodulatory Formulas on the Number of Postoperative Infections in Head & Neck Cancer Patients","Completed","No Results Available","All","Phase 4","68","Other|Industry","Interventional","February 2013","December 2013","June 2014","December 7, 2015","null","December 7, 2015","Hospital Universitairo La Paz, Madrid, Spain","https://ClinicalTrials.gov/show/NCT02622880"
7,"NCT00958386","Safety and Efficacy Study of Panitumumab+Irinotecan in Patients Wild-Type (WT) KRAS Metastatic Colorectal Cancer Refractory to Irinotecan Based Chemotherapy (SPECTRA)","Completed","No Results Available","All","Phase 2","61","Other|Industry","Interventional","August 2009","July 2014","July 2014","August 13, 2009","null","March 24, 2015","Spanish Cooperative Group for Gastrointestinal Tumour Therapy, Madrid, Spain","https://ClinicalTrials.gov/show/NCT00958386"
8,"NCT01043484","Safety and Efficacy Study to Compare Capecitabine + Bevacizumab Versus Capecitabine, Concomitantly With Radiotherapy as Neoadjuvant Treatment for Patients With Localized and Resectable Rectal Cancer","Completed","No Results Available","All","Phase 2","90","Other|Industry","Interventional","December 2009","January 2013","August 2016","January 6, 2010","null","October 19, 2016","Spanish Cooperative Group for Gastrointestinal Tumour Therapy, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01043484"
9,"NCT00885885","Safety and Efficacy Study of FOLFOX4+Panitumumab vs.FOLFIRI+Panitumumab in Subjects WT KRAS Colorectal Cancer and Liver-only Metastases","Completed","No Results Available","All","Phase 2","80","Other|Industry","Interventional","May 2009","March 2015","March 2015","April 22, 2009","null","August 1, 2017","Spanish Cooperative Group for Gastrointestinal Tumour Therapy, Madrid, Spain","https://ClinicalTrials.gov/show/NCT00885885"
10,"NCT01161316","Safety and Efficacy Study of mFOLFOX-6 Plus Cetuximab for 8 Cycles Followed by mFOLFOX-6 Plus Cetuximab or Single Agent Cetuximab as Maintenance Therapy in Patients With Metastatic Colorectal Cancer and WT KRAS Tumours","Completed","No Results Available","All","Phase 2","194","Other","Interventional","August 2010","June 2015","June 2015","July 13, 2010","null","July 27, 2015","Spanish Cooperative Group for Gastrointestinal Tumour Therapy, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01161316"
11,"NCT01303029","Safety and Efficacy Study of Gemcitabine-erlotinib Versus Gemcitabine-erlotinib-capecitabine in Patients With Metastatic Pancreatic Cancer","Completed","No Results Available","All","Phase 2","120","Other|Industry","Interventional","February 2011","June 2015","June 2015","February 24, 2011","null","August 1, 2017","Spanish Cooperative Group for Digestive Tumour Therapy, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01303029"
12,"NCT00875771","Irinotecan, Capecitabine and Bevacizumab in Metastatic Colorectal Cancer Patients","Completed","No Results Available","All","Phase 2","80","Other|Industry","Interventional","April 2009","May 2012","May 2012","April 3, 2009","null","August 1, 2017","Spanish Cooperative Group for Gastrointestinal Tumour Therapy, Madrid, Spain","https://ClinicalTrials.gov/show/NCT00875771"
13,"NCT01071655","Selecting Treatment in Colorectal Cancer:Capecitabine or 5-fluorouracil Selection to be Combined With Oxaliplatin or Irinotecan as First-line Chemotherapy in Advanced Colorectal Cancer","Completed","No Results Available","All","Phase 2","195","Other|Industry","Interventional","February 2010","November 2013","November 2013","February 19, 2010","null","March 24, 2015","Spanish Cooperative Group for Gastrointestinal Tumour Therapy, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01071655"
14,"NCT01115751","A Study in Patients With Advanced or Metastatic Cancer","Completed","No Results Available","All","Phase 1","80","Industry","Interventional","March 2010","July 2012","July 2012","May 4, 2010","null","July 31, 2012","For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon-Fri from 9AM to 5PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Barcelona, Spain|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon-Fri from 9AM to 5PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Madrid, Spain","https://ClinicalTrials.gov/show/NCT01115751"
15,"NCT01875380","Regorafenib in Frail and/or Unfit for Chemotherapy Patients With Metastatic Colorectal Cancer","Completed","No Results Available","All","Phase 2","46","Other|Industry","Interventional","June 2013","April 2016","April 2016","June 11, 2013","null","August 1, 2017","Spanish Cooperative Group for Digestive Tumour Therapy (TTD), Madrid, Spain","https://ClinicalTrials.gov/show/NCT01875380"
16,"NCT01583777","Phase I Mass Balance, PK and Safety Study of 14C-Labeled Belinostat in Patients With Advanced Cancer","Completed","No Results Available","All","Phase 1","6","Industry","Interventional","September 2013","April 2015","April 2015","April 24, 2012","null","July 22, 2016","Hospital Universitario Madrid Sanchinarro, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01583777"
17,"NCT01704703","Study of FOLFIRI + Panitumumab Using Ultra-selection Technology of Patients With Stage IV Colorectal Cancer Refractory to Irinotecan Without Any Mutation on KRAS, PIK3Ca, BRAF and NRAS Genes Detected With Highly Sensitive Techniques","Completed","No Results Available","All","Phase 2","72","Other","Interventional","October 2012","July 2016","July 2016","October 11, 2012","null","August 1, 2017","Spanish Cooperative Group for Digestive Tumour Therapy, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01704703"
18,"NCT00969410","A Pharmacodynamic Study of AV-299 (Formerly SCH 900105) in Subjects With Advanced Solid Tumors Who Have Liver Metastases","Completed","No Results Available","All","Phase 1","19","Industry","Interventional","August 2009","March 2011","March 2011","September 1, 2009","null","April 12, 2012","Investigational Site 1, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT00969410"
19,"NCT02406794","Effect of Kinesiotaping for the Treatment of Hormone-induced Myalgia in Women Given Breast Cancer Survivors","Completed","No Results Available","All","Phase 1|Phase 2","156","Other","Interventional","May 2016","September 2016","March 2017","April 2, 2015","null","March 31, 2017","Regional University Hospital Virgen de la Victoria, Malaga, Spain","https://ClinicalTrials.gov/show/NCT02406794"
20,"NCT02928432","SWITCH: Study of the Prednisone to Dexamethasone Change in mCRPC Patients Treated With Abiraterone","Completed","No Results Available","Male","Phase 2","26","Other","Interventional","June 2013","September 2016","January 2017","October 10, 2016","null","January 27, 2017","Spanish National Cancer Research Centre (CNIO), Madrid, Spain","https://ClinicalTrials.gov/show/NCT02928432"
21,"NCT01557101","Comparison Colon Capsule Endoscopy vs Optical Colonoscopy for Colorectal Cancer Screening in Familiar-Risk Population","Completed","No Results Available","All","Phase 4","200","Other","Interventional","April 2012","April 2013","June 2013","March 19, 2012","null","January 9, 2014","Digestive Service, Huc, La Laguna, S/c de Tenerife, Spain|Hospital Universitario de Canarias, La Laguna, S/c de Tenerife, Spain","https://ClinicalTrials.gov/show/NCT01557101"
22,"NCT01567488","Phase II Study of Everolimus Combined With Octreotide LAR to Treat Advanced GI NET","Completed","No Results Available","All","Phase 2","43","Other","Interventional","June 8, 2011","September 1, 2014","June 7, 2017","March 30, 2012","null","January 3, 2018","Instituto Catalán de Oncologia, Hospitalet de Llobregat, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT01567488"
23,"NCT01484080","Neoadjuvant Paclitaxel Versus BIBF 1120 Priming Followed by BIBF 1120 Plus Paclitaxel in Early HER-2 Negative Breast Cancer With Proteomic and Dynamic Imaging Correlates","Completed","No Results Available","Female","Phase 1|Phase 2","140","Other","Interventional","October 2011","November 2013","April 2014","December 2, 2011","null","April 16, 2015","Hospital Universitari de Bellvitge, Hospitalet de Llobregat, Barcelona, Spain|Hospital Universitario de Fuenlabrada, Fuenlabrada, Madrid, Spain|MD Anderson Cancer Centre Madrid, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01484080"
