"","Rank","Study.Results","Gender","Phases","Funded.Bys","Start.Date","Primary.Completion.Date","Completion.Date","Results.First.Posted","DaysInterval","Country","City","Multicentric"
"1",1,"No Results Available","All","Phase 1|Phase 2","Other","June 2012",2015-02-01,2015-04-01,NA,NA," Spain"," Murcia","0"
"2",2,"No Results Available","All","Phase 2","Industry|Other","May 2010",2014-07-01,2014-07-01,NA,NA," Spain"," Madrid","0"
"3",3,"No Results Available","All","Phase 2","NIH|Other","February 2011",2012-06-01,2013-12-01,NA,NA," Spain"," Navarra","0"
"4",4,"No Results Available","All","Phase 2","Other","August 2011",2014-09-01,2014-09-01,NA,NA," Spain"," Barcelona","0"
"5",5,"No Results Available","Female","Phase 2","Other","March 2013",2013-07-01,2013-07-01,NA,NA," Spain"," L´Hospitalet de Llobregat","0"
"6",6,"No Results Available","All","Phase 4","Industry|Other","February 2013",2013-12-01,2014-06-01,NA,NA," Spain"," Madrid","0"
"7",7,"No Results Available","All","Phase 2","Industry|Other","August 2009",2014-07-01,2014-07-01,NA,NA," Spain"," Madrid","0"
"8",8,"No Results Available","All","Phase 2","Industry|Other","December 2009",2013-01-01,2016-08-01,NA,NA," Spain"," Madrid","0"
"9",9,"No Results Available","All","Phase 2","Industry|Other","May 2009",2015-03-01,2015-03-01,NA,NA," Spain"," Madrid","0"
"10",10,"No Results Available","All","Phase 2","Other","August 2010",2015-06-01,2015-06-01,NA,NA," Spain"," Madrid","0"
"11",11,"No Results Available","All","Phase 2","Industry|Other","February 2011",2015-06-01,2015-06-01,NA,NA," Spain"," Madrid","0"
"12",12,"No Results Available","All","Phase 2","Industry|Other","April 2009",2012-05-01,2012-05-01,NA,NA," Spain"," Madrid","0"
"13",13,"No Results Available","All","Phase 2","Industry|Other","February 2010",2013-11-01,2013-11-01,NA,NA," Spain"," Madrid","0"
"14",14,"No Results Available","All","Phase 1","Industry","March 2010",2012-07-01,2012-07-01,NA,NA,"Multicentric","Multicentric","1"
"15",15,"No Results Available","All","Phase 2","Industry|Other","June 2013",2016-04-01,2016-04-01,NA,NA," Spain"," Madrid","0"
"16",16,"No Results Available","All","Phase 1","Industry","September 2013",2015-04-01,2015-04-01,NA,NA," Spain"," Madrid","0"
"17",17,"No Results Available","All","Phase 2","Other","October 2012",2016-07-01,2016-07-01,NA,NA," Spain"," Madrid","0"
"18",18,"No Results Available","All","Phase 1","Industry","August 2009",2011-03-01,2011-03-01,NA,NA," Spain"," Barcelona","0"
"19",19,"No Results Available","All","Phase 1|Phase 2","Other","May 2016",2016-09-01,2017-03-01,NA,NA," Spain"," Malaga","0"
"20",20,"No Results Available","Male","Phase 2","Other","June 2013",2016-09-01,2017-01-01,NA,NA," Spain"," Madrid","0"
"21",21,"No Results Available","All","Phase 4","Other","April 2012",2013-04-01,2013-06-01,NA,NA,"Multicentric","Multicentric","1"
"22",22,"No Results Available","All","Phase 2","Other","June 8, 2011",2014-09-01,2017-06-07,NA,NA," Spain"," Barcelona","0"
"23",23,"No Results Available","Female","Phase 1|Phase 2","Other","October 2011",2013-11-01,2014-04-01,NA,NA,"Multicentric","Multicentric","1"
"24",24,"No Results Available","All","Phase 1","Industry|Other","February 2014",2015-03-01,2015-04-01,NA,NA," Spain"," Barcelona","0"
"25",25,"No Results Available","All","Phase 2","Other","November 2012",2016-12-01,2016-12-01,NA,NA," Spain"," Navarra","0"
"26",26,"No Results Available","All","Phase 3","Other","March 2010",2015-07-01,2015-08-01,NA,NA,"Multicentric","Multicentric","1"
"27",27,"No Results Available","All","Phase 1","Other","June 2011",2012-06-01,2013-01-01,NA,NA," Spain"," Madrid","0"
"28",28,"No Results Available","All","Phase 4","Other","July 2013",2016-09-01,2016-10-01,NA,NA," Spain"," Barcelona","0"
"29",29,"Has Results","All","Phase 1","Industry","August 2008",2009-12-01,2010-08-01,2011-01-05,400,"Multicentric","Multicentric","1"
"30",30,"No Results Available","All","Phase 1","Industry","April 2013",2016-10-01,2016-10-01,NA,NA,"Multicentric","Multicentric","1"
"31",31,"No Results Available","All","Phase 1","Industry","March 2010",2015-02-01,2015-02-01,NA,NA,"Multicentric","Multicentric","1"
"32",32,"Has Results","Female","Phase 1","Industry","March 2011",2013-07-01,2016-04-01,2014-11-20,507,"Multicentric","Multicentric","1"
"33",33,"No Results Available","All","Phase 1|Phase 2","Other","January 2013",2014-12-01,2016-01-01,NA,NA," Spain"," Madrid","0"
"34",34,"No Results Available","All","Phase 1","Industry","January 2009",2011-06-01,2011-06-01,NA,NA,"Multicentric","Multicentric","1"
"35",35,"No Results Available","Male","Phase 2","Other","July 2011",2013-02-01,2013-02-01,NA,NA," Spain"," Madrid","0"
"36",36,"No Results Available","All","Phase 1","Industry","March 2009",2011-06-01,2011-06-01,NA,NA,"Multicentric","Multicentric","1"
"37",37,"Has Results","All","Phase 1","Industry","December 2013",2015-01-01,2016-04-01,2016-02-12,407,"Multicentric","Multicentric","1"
"38",38,"No Results Available","Female","Phase 1|Phase 2","Industry","January 2012",2014-05-01,2014-05-01,NA,NA,"Multicentric","Multicentric","1"
"39",39,"No Results Available","All","Phase 2","Industry|Other","November 2008",2012-05-01,2012-05-01,NA,NA," Spain"," Madrid","0"
"40",40,"No Results Available","Female","Phase 1","Industry","February 2012",2012-06-01,2012-06-01,NA,NA,"Multicentric","Multicentric","1"
"41",41,"No Results Available","All","Phase 1","Industry","May 2011",2013-10-01,2013-10-01,NA,NA,"Multicentric","Multicentric","1"
"42",42,"No Results Available","All","Phase 1","Industry","May 2009",2012-07-01,2012-07-01,NA,NA,"Multicentric","Multicentric","1"
"43",43,"No Results Available","All","Phase 1","Industry","June 2013",2015-04-01,2016-04-01,NA,NA,"Multicentric","Multicentric","1"
"44",44,"No Results Available","All","Phase 1","Industry","May 2010",2010-09-01,2010-09-01,NA,NA,"Multicentric","Multicentric","1"
"45",45,"No Results Available","All","Phase 1","Industry","January 2014",2016-10-01,2018-09-01,NA,NA,"Multicentric","Multicentric","1"
