"","Rank","Study.Results","Gender","Phases","Funded.Bys","Start.Date","Primary.Completion.Date","Completion.Date","Results.First.Posted","DaysInterval","Country","Multicentric"
"1",1,"No Results Available","Female","Phase 1|Phase 2","Other","October 2015",2017-01-01,2017-02-01,NA,NA," Netherlands","0"
"2",2,"Has Results","All","Phase 1|Phase 2","NIH|Other","November 2008",2014-04-01,2014-04-01,2017-02-27,1063,"Multicentric","1"
"3",3,"No Results Available","Female","Phase 1|Phase 2","Other","June 2010",2014-03-01,2015-02-01,NA,NA,"Multicentric","1"
"4",4,"No Results Available","All","Phase 1|Phase 2","Other","April 2015",2016-06-01,2016-06-01,NA,NA," China","0"
"5",5,"No Results Available","All","Phase 1|Phase 2","Other","May 2015",2016-02-01,2016-02-01,NA,NA," China","0"
"6",6,"No Results Available","Female","Phase 2|Phase 3","Other","January 2008",2008-12-01,2008-12-01,NA,NA," United States","0"
"7",7,"No Results Available","All","Phase 1|Phase 2","Other","May 2015",2016-02-01,2016-02-01,NA,NA," China","0"
"8",8,"No Results Available","Male","Phase 2|Phase 3","Other","August 2009",2010-08-01,2010-08-01,NA,NA," United Kingdom","0"
"9",9,"No Results Available","Female","Phase 2|Phase 3","Other","June 2009",2016-01-01,2016-04-01,NA,NA," China","0"
"10",10,"No Results Available","Female","Phase 1|Phase 2","Other","September 2015",2017-08-15,2017-08-15,NA,NA," China","0"
"11",11,"Has Results","All","Phase 1|Phase 2","Industry|Other","June 2009",2013-10-01,2013-10-01,2014-09-29,363,"Multicentric","1"
"12",12,"Has Results","Male","Phase 1|Phase 2","Other","September 11, 2012",2015-01-01,2017-09-17,2018-08-28,1335," United States","0"
"13",13,"No Results Available","Female","Phase 1|Phase 2","Industry","July 2009",2011-11-01,2011-11-01,NA,NA,"Multicentric","1"
"14",14,"No Results Available","All","Phase 1|Phase 2","Other","May 2015",2016-08-01,2016-08-01,NA,NA," China","0"
"15",15,"Has Results","All","Phase 1|Phase 2","Industry|Other","February 2010",2013-09-01,2015-04-01,2017-04-07,1314,"Multicentric","1"
"16",16,"No Results Available","All","Phase 1|Phase 2","Other","August 2015",2016-08-01,2016-08-01,NA,NA," China","0"
"17",17,"No Results Available","All","Phase 1|Phase 2","Other","April 2009",2011-12-01,2016-12-31,NA,NA,"Multicentric","1"
"18",18,"No Results Available","Female","Phase 1|Phase 2","Industry","February 2010",2012-12-01,2012-12-01,NA,NA,"Multicentric","1"
"19",19,"Has Results","All","Phase 2|Phase 3","NIH|Other","April 2010",2013-07-01,2013-09-01,2014-09-09,435,"Multicentric","1"
"20",20,"No Results Available","All","Phase 1|Phase 2","Industry","November 1, 2015",2017-10-06,2018-03-30,NA,NA,"Multicentric","1"
"21",21,"No Results Available","All","Phase 1|Phase 2","Industry","August 2011",2015-03-01,2015-05-01,NA,NA," Germany","0"
"22",22,"No Results Available","Male","Phase 1|Phase 2","Industry","August 2014",2015-07-01,2015-08-01,NA,NA," United States","0"
"23",23,"Has Results","Male","Phase 1|Phase 2","Other","March 2013",2015-07-01,2015-11-18,2018-08-20,1146," United States","0"
"24",24,"No Results Available","Female","Phase 1|Phase 2","Industry","March 2014",2016-03-01,2016-04-01,NA,NA,"Multicentric","1"
"25",25,"No Results Available","All","Phase 2|Phase 3","Other","January 2010",2013-01-01,2013-07-01,NA,NA," United Kingdom","0"
"26",26,"No Results Available","Female","Phase 1|Phase 2","Other","November 2010",2014-10-01,2015-10-01,NA,NA,"Multicentric","1"
"27",27,"Has Results","Male","Phase 1|Phase 2","NIH|Other","June 2009",2013-07-01,2013-07-01,2014-11-19,506," United States","0"
